@relation 'MARSYAS_EMPTYdrum_features.arff-weka.filters.unsupervised.attribute.Remove-R121-124-weka.filters.unsupervised.attribute.Remove-R118,120-weka.filters.unsupervised.attribute.Remove-R115-117-weka.filters.unsupervised.attribute.Remove-R110-112-weka.filters.unsupervised.attribute.Remove-R106-107,109-weka.filters.unsupervised.attribute.Remove-R96-104-weka.filters.unsupervised.attribute.Remove-R90-92-weka.filters.unsupervised.attribute.Remove-R86-89-weka.filters.unsupervised.attribute.Remove-R77-84-weka.filters.unsupervised.attribute.Remove-R37-73-weka.filters.unsupervised.attribute.Remove-R1-4,6-7,9-10,13,15-24,28-32,34-35,37,43'

@attribute Mean_Acc5_Mean_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Std_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute output {0,1,2}

@data
-72.372226,0.763262,0.125295,0.30781,0.24817,0.000138,0.000124,0.000114,0.019675,14.977096,0.153298,0.393843,0.000091,0.441947,0.014573,0.114626,0.11126,0.000257,0.000275,0.000182,0
-74.220965,0.669833,0.396466,0.574488,0.260224,0.000184,0.000166,0.000142,0.073493,15.833059,0.186066,0.163422,0.000107,0.895729,0.018467,0.214077,0.183664,0.000239,0.000255,0.000204,0
-72.93018,0.981346,0.397137,0.113453,0.304091,0.000111,0.000102,0.000092,0.0414,14.791749,0.029721,0.080128,0.00007,0.208558,0.022908,0.149663,0.110168,0.000214,0.000234,0.000175,0
-73.456467,0.606944,-0.074801,0.474919,0.170437,0.00012,0.000119,0.000115,0.030289,15.255156,0.043326,0.16878,0.000064,0.214627,0.01829,0.144086,0.124606,0.000206,0.000232,0.000204,0
-74.325221,0.803589,0.272328,-0.019097,-0.278343,0.000107,0.000099,0.000089,0.041113,15.748877,0.206655,0.08376,0.000068,0.348248,0.018829,0.178986,0.12405,0.000184,0.000205,0.000152,0
-75.289464,0.795165,0.061049,0.144257,0.068825,0.000202,0.000171,0.00015,0.009996,15.092394,0.114846,0.114523,0.000145,0.530885,0.007453,0.115018,0.149395,0.000333,0.000377,0.00025,0
-76.023225,0.608255,0.609534,0.33079,-0.062321,0.000214,0.000182,0.000161,0.090281,14.851088,0.025445,0.113631,0.000154,0.329549,0.009187,0.245791,0.149136,0.000383,0.000427,0.00025,0
-73.002062,0.738786,0.406389,0.382131,0.099471,0.000179,0.000153,0.000132,0.031483,13.991696,0.188338,0.136817,0.000123,0.454576,0.011724,0.124501,0.174383,0.00025,0.000277,0.000165,0
-74.536481,0.909315,0.094622,0.676457,0.036963,0.000171,0.000159,0.000138,0.015262,15.638037,0.095697,0.133505,0.000095,1.153615,0.014109,0.224836,0.154885,0.000218,0.000229,0.000196,0
-74.532205,0.392848,-0.040467,0.074845,0.3835,0.000144,0.000131,0.000111,0.126883,15.633198,0.050962,0.081739,0.000085,0.2093,0.014958,0.15079,0.11587,0.000197,0.000211,0.000155,0
-72.0555,0.760488,0.239243,0.251331,0.216048,0.000142,0.000125,0.000116,0.019687,15.037576,0.186845,0.312849,0.000098,0.517861,0.016891,0.197993,0.164597,0.000306,0.000322,0.000194,0
-72.481981,0.475185,0.120257,0.194118,0.581536,0.000112,0.000104,0.000094,0.031398,15.200611,0.365444,0.368067,0.000068,0.198152,0.021335,0.153466,0.161538,0.000216,0.00024,0.000203,0
-71.769045,0.382133,0.357707,0.155735,0.041328,0.000119,0.000114,0.000106,0.027479,14.315844,0.184124,0.206849,0.000068,0.247664,0.018034,0.147303,0.108557,0.000186,0.000201,0.000174,0
-74.859237,0.835867,0.252632,0.175043,0.194545,0.00009,0.000083,0.000074,0.028732,16.128547,0.412853,0.097061,0.000058,0.212963,0.019216,0.162849,0.140808,0.000184,0.0002,0.000147,0
-73.568065,0.619698,0.59546,0.523848,0.482739,0.000169,0.000142,0.000123,0.009515,14.878323,0.073496,0.195191,0.000117,0.43792,0.009385,0.131847,0.193392,0.000253,0.00028,0.000171,0
-76.066253,0.677467,0.204345,0.523858,0.307675,0.000194,0.000165,0.000146,0.031799,14.837525,0.041173,0.501238,0.00014,0.39958,0.010525,0.12783,0.264934,0.000357,0.000396,0.000223,0
-73.146069,0.447642,0.367798,0.117403,0.267318,0.000205,0.000174,0.000155,0.053351,14.032719,0.103138,0.072444,0.000146,0.237702,0.008614,0.133575,0.207126,0.000329,0.000371,0.000236,0
